seriesId,seriesDescription,unit
HLRFB,Hydrocarbon gas liquids consumed as refinery fuel and intermediate products,Billion Btu
HLICB,Hydrocarbon gas liquids consumed by the industrial sector,Billion Btu
HLACB,Hydrocarbon gas liquids consumed by the transportation sector,Billion Btu
HLISB,Hydrocarbon gas liquids consumed by the industrial sector adjusted for processed fuel,Billion Btu
HLTCP,Hydrocarbon gas liquids total consumption,Thousand barrels
OPSCB,Other petroleum products total consumption adjusted for refinery fuel and intermediate products,Billion Btu
HLICP,Hydrocarbon gas liquids consumed by the industrial sector,Thousand barrels
HLACP,Hydrocarbon gas liquids consumed by the transportation sector,Thousand barrels
PCTXP,Petroleum coke total end-use consumption,Thousand barrels
HLRCD,Hydrocarbon gas liquids price in the residential sector,Dollars per million Btu
HLTCV,Hydrocarbon gas liquids total expenditures,Million dollars
HLCCP,Hydrocarbon gas liquids consumed by the commercial sector,Thousand barrels
HLRCB,Hydrocarbon gas liquids consumed by the residential sector,Billion Btu
HLTXB,Hydrocarbon gas liquids total end-use consumption,Billion Btu
HLICD,Hydrocarbon gas liquids price in the industrial sector,Dollars per million Btu
OPISB,Other petroleum products consumed by the industrial sector excluding refinery fuel and intermediate products,Billion Btu
HLCCD,Hydrocarbon gas liquids price in the commercial sector,Dollars per million Btu
HLCCV,Hydrocarbon gas liquids expenditures in the commercial sector,Million dollars
PCTXB,Petroleum coke total end-use consumption,Billion Btu
HLRCV,Hydrocarbon gas liquids expenditures in the residential sector,Million dollars
HLTXD,"Hydrocarbon gas liquids average price, all end-use sectors",Dollars per million Btu
ZWCDP,Cooling degree days (CDD),Days
ZWHDP,Heating degree days (HDD),Days
PMCCB,"All petroleum products, excluding biofuels, consumed by the commercial sector",Billion Btu
PMICB,"All petroleum products, excluding biofuels, consumed by the industrial sector",Billion Btu
PMACB,"All petroleum products, excluding biofuels, consumed by the transportation sector",Billion Btu
DMACB,"Distillate fuel oil, excluding biodiesel and renewable diesel, consumed by the transportation sector",Billion Btu
TNTCB,Total end-use energy consumption,Billion Btu
MMCCB,"Motor gasoline, excluding fuel ethanol, consumed by the commercial sector",Billion Btu
MMICB,"Motor gasoline, excluding fuel ethanol, consumed by the industrial sector",Billion Btu
DMACP,"Distillate fuel oil, excluding biodiesel and renewable diesel, consumed by the transportation sector",Thousand barrels
B1PRB,Renewable diesel production,Billion Btu
BOPRP,Other biofuels total production for the United States,Thousand barrels
DMTCP,"Distillate fuel oil, excluding biodiesel and renewable diesel, total consumption",Thousand barrels
BFPRB,"Biofuels production (total biomass inputs as feedstock), including liquids and losses & co-products",Billion Btu
B1PRP,Renewable diesel production,Thousand barrels
BOPRB,Other biofuels total production for the United States,Billion Btu
ESTCK,Electricity conversion factor for the United States,Thousand Btu per kilowatthour
WDEXB,Densified biomass exports (available for 2016 forward),Billion Btu
WDTCB,Wood energy total consumption,Billion Btu
WDPRB,Wood energy production,Billion Btu
OPICB,Other petroleum products consumed by the industrial sector,Billion Btu
WSTCB,Waste energy total consumption,Billion Btu
SOR7P,Solar photovoltaic electricity generation by small-scale applications in the residential sector,Million kilowatthours
SOTGP,Solar thermal and photovoltaic electricity total net generation,Million kilowatthours
OPACB,Other petroleum products consumed by the transportation sector,Billion Btu
DFASB,Distillate fuel oil consumed by the transportation sector including biofuels product supplied,Billion Btu
B1TCB,Renewable diesel total consumption,Billion Btu
B1ACP,Renewable diesel consumed by the transportation sector,Thousand barrels
BFSUB,Biofuels product supplied consumed with distillate fuel oil by the transportation sector,Billion Btu
B1ACB,Renewable diesel consumed by the transportation sector,Billion Btu
B1TCP,Renewable diesel total consumption,Thousand barrels
OMTCB,"Other petroleum products consumption, excluding biofuels",Billion Btu
OPACP,Other petroleum products consumed by the transportation sector,Thousand barrels
BOTCB,Other biofuels total consumption for the United States,Billion Btu
BDPRP,Biodiesel liquids production,Thousand barrels
BFTCB,Biofuels total consumption,Billion Btu
NCPRB,Noncombustible renewable energy production,Billion Btu
WWPRB,Wood and waste energy production,Billion Btu
BDFDB,"Biodiesel production (total biomass inputs as feedstock), including liquids and losses & co-products",Billion Btu
BFPRP,Biofuels liquid production,Thousand barrels
REEIB,Renewable energy sources consumed by the electric power sector,Billion Btu
REACB,Renewable energy sources consumed by the transportation sector,Billion Btu
RECCB,Renewable energy sources consumed by the commercial sector,Billion Btu
REICB,Renewable energy sources consumed by the industrial sector,Billion Btu
RERCB,Renewable energy sources consumed by the residential sector,Billion Btu
BOACP,Other biofuels consumed by the transportation sector for the United States ,Thousand barrels
BOTCP,Other biofuels total consumption for the United States,Thousand barrels
PAASB,All petroleum products consumed by the transportation sector excluding other biofuels product supplied for the United States,Billion Btu
TEACV,Total energy expenditures in the transportation sector,Million dollars
WYICP,Wind electricity net generation in the industrial sector,Million kilowatthours
TERPB,Total energy consumption per capita in the residential sector,Million Btu
TETCD,Total energy average price,Dollars per million Btu
SOCCP,Solar thermal and photovoltaic electricity net generation in the commercial sector,Million kilowatthours
SORCB,Solar energy consumed by the residential sector,Billion Btu
TETCV,Total energy expenditures,Million dollars
TETPB,Total energy consumption per capita,Million Btu
WWICB,Wood and waste consumed in the industrial sector,Billion Btu
TECPB,Total energy consumption per capita in the commercial sector,Million Btu
TETXD,Total end-use energy average price,Dollars per million Btu
TETCB,Total energy consumption,Billion Btu
TETXV,Total end-use energy expenditures,Million dollars
TETGR,Total energy consumption per dollar of real gross domestic product (GDP),Thousand Btu per chained (2017) dollar
TETPV,Total energy expenditures per capita,Dollars
SOICP,Solar thermal and photovoltaic electricity net generation in the industrial sector,Million kilowatthours
TETXB,Total end-use sector energy consumption,Billion Btu
TNSCB,"Total net energy consumption, adjusted for process fuel, intermediate products, and fuels with no direct cost",Billion Btu
WYTXB,Wind energy total end-use consumption,Billion Btu
TNCCB,End-use energy consumption in the commercial sector,Billion Btu
WWTCD,"Wood and waste average price, all sectors",Dollars per million Btu
TECCB,Total energy consumption in the commercial sector,Billion Btu
TEAPB,Total energy consumption per capita in the transportation sector,Million Btu
WDCCB,Wood energy consumed by the commercial sector,Billion Btu
WYTCP,Wind electricity total net generation,Million kilowatthours
WYTXP,Wind energy total end-use net generation,Million kilowatthours
WYICB,Wind energy consumed by the industrial sector,Billion Btu
BDTCP,Biodiesel total consumption,Thousand barrels
BDTCB,Biodiesel total consumption,Billion Btu
SOICB,Solar energy consumed by the industrial sector,Billion Btu
WYCCP,Wind electricity net generation in the commercial sector,Million kilowatthours
SOCCB,Solar energy consumed by the commercial sector,Billion Btu
WWCSB,Wood and waste energy consumed in the commercial sector at a cost,Billion Btu
TNICB,End-use energy consumption in the industrial sector,Billion Btu
WWCXB,Wood and waste energy consumed in the commercial sector at no cost,Billion Btu
WWCCB,Wood and waste consumed in the commercial sector,Billion Btu
WDRXB,Wood energy consumed in the residential sector at no cost,Billion Btu
WWTCB,Wood and waste total consumption,Billion Btu
TEACD,Total energy average price in the transportation sector,Dollars per million Btu
WDRCV,Wood expenditures in the residential sector,Million dollars
BDLCB,Energy losses and co-products from the production of biodiesel,Billion Btu
BDACP,Biodiesel consumed by the transportation sector,Thousand barrels
WWTCV,Wood and waste total expenditures,Million dollars
TEACB,Total energy consumption in the transportation sector,Billion Btu
PEACD,Primary energy average price in the transportation sector,Dollars per million Btu
WXICB,Waxes consumed by the industrial sector,Billion Btu
PETCV,Primary energy total expenditures,Million dollars
WWTXB,Wood and waste total end-use consumption,Billion Btu
WWEIB,Wood and waste consumed by the electric power sector,Billion Btu
DMTCB,"Distillate fuel oil, excluding biodiesel and renewable diesel, total consumption",Billion Btu
BFLCB,Energy losses and co-products from the production of biofuels,Billion Btu
WWCCD,Wood and waste price in the commercial sector,Dollars per million Btu
RFTXD,"Residual fuel oil average price, all end-use sectors",Dollars per million Btu
WWTXD,"Wood and waste average price, all end-use sectors",Dollars per million Btu
PEEID,Primary energy average price in the electric power sector,Dollars per million Btu
WDRSB,Wood energy consumed in the residential sector at a cost,Billion Btu
WDRCD,Wood price in the residential sector,Dollars per million Btu
P1TCD,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all sectors",Dollars per million Btu
WYCCB,Wind energy consumed by the commercial sector,Billion Btu
TNACB,End-use energy consumption in the transportation sector,Billion Btu
P1ICP,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector",Thousand barrels
WDRCB,Wood energy consumed by the residential sector,Billion Btu
TPOPP,Resident population including Armed Forces,Thousand
WWEID,Wood and waste price in the electric power sector,Dollars per million Btu
TNRCB,End-use energy consumption in the residential sector,Billion Btu
WWCCV,Wood and waste expenditures in the commercial sector,Million dollars
P1TCV,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total expenditures",Million dollars
P1ICV,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" expenditures in the  industrial sector",Million dollars
WWEIV,Wood and waste expenditures in the electric power sector,Million dollars
PAICD,All petroleum products average price in the industrial sector,Dollars per million Btu
WWICD,Wood and waste price in the industrial sector,Dollars per million Btu
BDACB,Biodiesel consumed by the transportation sector,Billion Btu
TEIPB,Total energy consumption per capita in the industrial sector,Million Btu
TERCD,Total energy average price in the residential sector,Dollars per million Btu
P1ICD,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price in the  industrial sector",Dollars per million Btu
TEPRB,Total primary energy production,Billion Btu
P1TCP,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption",Thousand barrels
P1TCB,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total consumption",Billion Btu
RFTCD,"Residual fuel oil average price, all sectors",Dollars per million Btu
RFICD,Residual fuel oil price in the industrial sector,Dollars per million Btu
RFEIP,Residual fuel oil consumed by the electric power sector,Thousand barrels
RFICV,Residual fuel oil expenditures in the industrial sector,Million dollars
PATCP,All petroleum products total consumption,Thousand barrels
RFCCV,Residual fuel oil expenditures in the commercial sector,Million dollars
RFCCD,Residual fuel oil price in the commercial sector,Dollars per million Btu
RFEIB,Residual fuel oil consumed by the electric power sector,Billion Btu
RFEIV,Residual fuel oil expenditures in the electric power sector,Million dollars
PMTCB,"All petroleum products, excluding biofuels, total consumption",Billion Btu
RFACP,Residual fuel oil consumed by the transportation sector,Thousand barrels
PATXB,All petroleum products total end-use consumption,Billion Btu
RFRFB,Residual fuel oil consumed as refinery fuel,Billion Btu
RFCCP,Residual fuel oil consumed by the commercial sector,Thousand barrels
RFACD,Residual fuel oil price in the transportation sector,Dollars per million Btu
PAACV,All petroleum products total expenditures in the transportation sector,Million dollars
PEEIV,Primary energy total expenditures in the electric power sector,Million dollars
PPICP,Natural gasoline (pentanes plus) consumed by the industrial sector,Thousand barrels
RFACB,Residual fuel oil consumed by the transportation sector,Billion Btu
PETCD,"Primary energy average price, all sectors",Dollars per million Btu
PECCV,Primary energy total expenditures in the commercial sector,Million dollars
P1TXD,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" average price, all end-use sectors",Dollars per million Btu
RFEID,Residual fuel oil price in the electric power sector,Dollars per million Btu
SFTCB,Supplemental gaseous fuels total consumption,Billion Btu
SOTXB,Solar energy total end-use consumption,Billion Btu
SNICV,Special naphthas expenditures in the industrial sector,Million dollars
WWTXV,Wood and waste total end-use expenditures,Million dollars
P1TXV,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use expenditures",Million dollars
PAACD,All petroleum products average price in the transportation sector,Dollars per million Btu
PERCD,Primary energy average price in the residential sector,Dollars per million Btu
PERCV,Primary energy total expenditures in the residential sector,Million dollars
NNTCB,Natural gas total consumption (excluding supplemental gaseous fuels),Billion Btu
PECCD,Primary energy average price in the commercial sector,Dollars per million Btu
P1TXP,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption",Thousand barrels
PEICD,Primary energy average price in the industrial sector,Dollars per million Btu
PPICB,Natural gasoline (pentanes plus) consumed by the industrial sector,Billion Btu
PETXD,"Primary energy average price, all end-use sectors",Dollars per million Btu
PATXD,"All petroleum products average price, all end-use sectors",Dollars per million Btu
WYEGP,Wind electricity net generation in the electric power sector,Million kilowatthours
PATXV,All petroleum products total end-use expenditures,Million dollars
PEICV,Primary energy total expenditures in the industrial sector,Million dollars
PATCD,"All petroleum products average price, all sectors",Dollars per million Btu
PATCV,All petroleum products total expenditures,Million dollars
PEACV,Primary energy total expenditures in the transportation sector,Million dollars
WYTCB,Wind energy total consumption,Billion Btu
WWICV,Wood and waste expenditures in the industrial sector,Million dollars
PATCB,All petroleum products total consumption,Billion Btu
SFRCB,Supplemental gaseous fuels consumed by the residential sector,Billion Btu
WXICP,Waxes consumed by the industrial sector,Thousand barrels
SOTCB,Solar energy total consumption,Billion Btu
PATXP,All petroleum products total end-use consumption,Thousand barrels
DKEIP,Distillate fuel oil (including kerosene-type jet fuel before 2001) consumed by the electric power sector,Thousand barrels
DKEIV,Distillate fuel oil (including kerosene-type jet fuel before 2001) expenditures in the electric power sector,Million dollars
DKEIB,Distillate fuel oil (including kerosene-type jet fuel before 2001) consumed by the electric power sector,Billion Btu
DKEID,Distillate fuel oil (including kerosene-type jet fuel before 2001) average price in the electric power sector,Dollars per million Btu
TEICV,Total energy expenditures in the industrial sector,Million dollars
BOACB,Other biofuels consumed by the transportation sector for the United States ,Billion Btu
NGACP,Natural gas consumed by the transportation sector,Million cubic feet
SOEGB,Solar energy consumed for electricity generation by the electric power sector,Billion Btu
SOEGP,Solar thermal and photovoltaic electricity net generation in the electric power sector,Million kilowatthours
NGCCB,"Natural gas delivered to the commercial sector, used as consumption (including supplemental gaseous fuels)",Billion Btu
MGTXB,Motor gasoline total end-use consumption,Billion Btu
PAEIB,All petroleum products consumed by the electric power sector,Billion Btu
SNICD,Special naphthas price in the industrial sector,Dollars per million Btu
SNICP,Special naphthas consumed by the industrial sector,Thousand barrels
SFCCB,Supplemental gaseous fuels consumed by the commercial sector,Billion Btu
NGACB,Natural gas consumed by the transportation sector ,Billion Btu
MGCCV,Motor gasoline expenditures in the commercial sector,Million dollars
NGCCD,Natural gas price in the commercial sector (including supplemental gaseous fuels),Dollars per million Btu
SNICB,Special naphthas consumed by the industrial sector,Billion Btu
RFTXV,Residual fuel oil total end-use expenditures,Million dollars
MMTCB,"Motor gasoline, excluding fuel ethanol, total consumption",Billion Btu
MGICB,Motor gasoline consumed by the industrial sector,Billion Btu
PACCB,All petroleum products consumed by the commercial sector,Billion Btu
PACCP,All petroleum products consumed by the commercial sector,Thousand barrels
ESICB,Electricity consumed by (sales to ultimate customers in) the industrial sector,Billion Btu
ESICP,Electricity consumed by (sales to ultimate customers in) the industrial sector,Million kilowatthours
ESTCP,Electricity total consumption (electricity sales to ultimate customers),Million kilowatthours
P1TXB,"Asphalt and road oil, aviation gasoline, kerosene, lubricants, petroleum coke, and ""other petroleum products"" total end-use consumption",Billion Btu
ESCCB,Electricity consumed by (sales to ultimate customers in) the commercial sector,Billion Btu
ESTCB,Electricity total consumption (electricity sales to ultimate customers),Billion Btu
PAEIP,All petroleum products consumed by the electric power sector,Thousand barrels
ESRCB,Electricity consumed by (sales to ultimate customers in) the residential sector,Billion Btu
ESRCP,Electricity consumed by (sales to ultimate customers in) the residential sector,Million kilowatthours
PACCV,All petroleum products total expenditures in the commercial sector,Million dollars
PAEIV,All petroleum products total expenditures in the electric power sector,Million dollars
PAICB,All petroleum products consumed by the industrial sector,Billion Btu
RFTCV,Residual fuel oil total expenditures,Million dollars
MGTXD,"Motor gasoline average price, all end-use sectors",Dollars per million Btu
MGICP,Motor gasoline consumed by the industrial sector,Thousand barrels
MGTXV,Motor gasoline total end-use expenditures,Million dollars
MGTCB,Motor gasoline total consumption,Billion Btu
MGTCD,"Motor gasoline average price, all sectors",Dollars per million Btu
SGICB,Still gas consumed by the industrial sector,Billion Btu
MGTCV,Motor gasoline total expenditures,Million dollars
MGICV,Motor gasoline expenditures in the industrial sector,Million dollars
LUTXD,"Lubricants average price, all end-use sectors",Dollars per million Btu
TERCV,Total energy expenditures in the residential sector,Million dollars
PARCP,All petroleum products consumed by the residential sector,Thousand barrels
LUTCV,Lubricants total expenditures,Million dollars
LUTXV,Lubricants total end-use expenditures,Million dollars
GDPRX,Real gross domestic product (GDP),Million chained (2017) dollars
LUTCD,"Lubricants average price, all sectors",Dollars per million Btu
PARCV,All petroleum products total expenditures in the residential sector,Million dollars
LUICD,Lubricants price in the industrial sector,Dollars per million Btu
LUACV,Lubricants expenditures in the transportation sector,Million dollars
PACCD,All petroleum products average price in the commercial sector,Dollars per million Btu
MGACP,Motor gasoline consumed by the transportation sector,Thousand barrels
PCCCB,Petroleum coke consumed by the commercial sector,Billion Btu
MGACB,Motor gasoline consumed by the transportation sector,Billion Btu
MGCCB,Motor gasoline consumed by the commercial sector,Billion Btu
MGCCD,Motor gasoline price in the commercial sector,Dollars per million Btu
SFINB,Supplemental gaseous fuels consumed by the industrial sector,Billion Btu
MGCCP,Motor gasoline consumed by the commercial sector,Thousand barrels
MGACD,Motor gasoline price in the transportation sector,Dollars per million Btu
MGACV,Motor gasoline expenditures in the transportation sector,Million dollars
MGICD,Motor gasoline price in the industrial sector,Dollars per million Btu
PATCK,Factor for converting all petroleum products consumed by all sectors from physical units to Btu for the United States,Million Btu per barrel
P1ICB,"Asphalt and road oil, kerosene, lubricants, petroleum coke, and ""other petroleum products"" consumed by the industrial sector",Billion Btu
PAICK,Factor for converting all petroleum products consumed by the industrial sector from physical units to Btu for the United States,Million Btu per barrel
PARCK,Factor for converting all petroleum products consumed by the residential sector from physical units to Btu for the United States,Million Btu per barrel
ELISP,Net interstate flow of electricity (negative indicates flow out of state),Million kilowatthours
LUACD,Lubricants price in the transportation sector,Dollars per million Btu
PAACB,All petroleum products consumed by the transportation sector,Billion Btu
PAACP,All petroleum products consumed by the transportation sector,Thousand barrels
PAACK,Factor for converting all petroleum products consumed by the transportation sector from physical units to Btu for the United States,Million Btu per barrel
PACCK,Factor for converting all petroleum products consumed by the commercial sector from physical units to Btu for the United States,Million Btu per barrel
PAEIK,Factor for converting all petroleum products consumed by the electric power sector from physical units to Btu for the United States,Million Btu per barrel
EVCHP,Total electric vehicle charging locations,Number
HVGBP,Conventional hydroelectric power generating units net summer capacity in all sectors,Thousand kilowatts
REGBP,Renewable energy total generating units net summer capacity in all sectors,Thousand kilowatts
NGGBP,Natural gas generating units net summer capacity in all sectors,Thousand kilowatts
HPGBP,Hydroelectric pumped storage generating units net summer capacity in all sectors,Thousand kilowatts
FFGBP,Fossil fuel total generating units net summer capacity in all sectors,Thousand kilowatts
OTGBP,Other generating units net summer capacity in all sectors,Thousand kilowatts
WSGBP,Waste generating units net summer capacity in all sectors,Thousand kilowatts
BTGBP,Battery storage units net summer capacity in all sectors,Thousand kilowatts
PAGBP,Petroleum generating units net summer capacity in all sectors,Thousand kilowatts
CLGBP,Coal generating units net summer capacity in all sectors,Thousand kilowatts
WYGBP,Wind generating units net summer capacity in all sectors,Thousand kilowatts
WDGBP,Wood generating units net summer capacity in all sectors,Thousand kilowatts
NUGBP,Nuclear generating units net summer capacity in all sectors,Thousand kilowatts
GEGBP,Geothermal generating units net summer capacity in all sectors,Thousand kilowatts
SOGBP,Solar generating units net summer capacity in all sectors,Thousand kilowatts
ELGBP,Total (all fuels) electric generating units net summer capacity in all sectors,Thousand kilowatts
OJGBP,Other gases generating units net summer capacity in all sectors,Thousand kilowatts
WYCAS,Wind generating units capacity factor,Percent
NTCAS,Natural gas turbine generating units capacity factor,Percent
BMCAS,Biomass generating units capacity factor,Percent
PACAS,Petroleum generating units capacity factor,Percent
GECAS,Geothermal generating units capacity factor,Percent
SPCAS,Solar photovoltaic generating units capacity factor,Percent
CLCAS,Coal generating units capacity factor,Percent
HVCAS,Conventional hydroelectric generating units capacity factor,Percent
NUCAS,Nuclear generating units capacity factor,Percent
CYCAS,Natural gas combined cycle generating units capacity factor,Percent
SHCAS,Solar thermal generating units capacity factor,Percent
NYCAS,Natural gas conventional steam generating units capacity factor,Percent
PQSCB,Propane total consumption adjusted for process fuel,Billion Btu
PQTXD,"Propane average price, all end-use sectors",Dollars per million Btu
PQTXV,Propane total end-use expenditures,Million dollars
PQICD,Propane price in the industrial sector,Dollars per million Btu
PQTXP,Propane total end-use consumption,Thousand barrels
PQACB,Propane consumed by the transportation sector,Billion Btu
PQCCD,Propane price in the commercial sector,Dollars per million Btu
OHICV,Other hydrocarbon gas liquids (other than propane) expenditures in the industrial sector,Million dollars
OHICD,Other hydrocarbon gas liquids (other than propane) price in the industrial sector,Dollars per million Btu
PQICP,Propane consumed by the industrial sector,Thousand barrels
PQTCD,"Propane average price, all sectors",Dollars per million Btu
PQACD,Propane price in the transportation sector,Dollars per million Btu
PQCCV,Propane expenditures in the commercial sector,Million dollars
PQRCV,Propane expenditures in the residential sector,Million dollars
PQRCB,Propane consumed by the residential sector,Billion Btu
PQTXB,Propane total end-use consumption,Billion Btu
PQTCV,Propane total expenditures,Million dollars
PQRFB,Propane consumed as refinery fuel,Billion Btu
PQTCB,Propane total consumption,Billion Btu
PQISB,Propane consumed in the industrial sector excluding refinery fuel,Billion Btu
PQCCP,Propane consumed by the commercial sector,Thousand barrels
PQACP,Propane consumed by the transportation sector,Thousand barrels
PQCCB,Propane consumed by the commercial sector,Billion Btu
PQRCP,Propane consumed by the residential sector,Thousand barrels
PQRCD,Propane price in the residential sector,Dollars per million Btu
PQTCP,Propane total consumption,Thousand barrels
PQACV,Propane expenditures in the transportation sector,Million dollars
PQICB,Propane consumed by the industrial sector,Billion Btu
OHICB,Other hydrocarbon gas liquids (other than propane) consumed by the industrial sector,Billion Btu
PQICV,Propane expenditures in the industrial sector,Million dollars
DMTCK,"Factor for converting distillate fuel, excluding biodiesel and renewable diesel, from physical units to Btu",Million Btu per barrel
IQICP,Isobutane consumed by the industrial sector,Thousand barrels
EQTCP,Ethane total consumption,Thousand barrels
EQTCB,Ethane total consumption,Billion Btu
BYICP,Butylene from refineries consumed by the industrial sector,Thousand barrels
PYICP,Propylene from refineries consumed by the industrial sector,Thousand barrels
BYTCP,Butylene from refineries total consumption,Thousand barrels
IYTCB,Isobutylene from refineries total consumption,Billion Btu
EQICB,Ethane consumed by the industrial sector,Billion Btu
BQICP,Normal butane consumed by the industrial sector,Thousand barrels
BQTCB,Normal butane total consumption,Billion Btu
BQTCP,Normal butane total consumption,Thousand barrels
IYICP,Isobutylene from refineries consumed by the industrial sector,Thousand barrels
IQTCP,Isobutane total consumption,Thousand barrels
IQTCB,Isobutane total consumption,Billion Btu
EQICP,Ethane consumed by the industrial sector,Thousand barrels
PYTCB,Propylene from refineries total consumption,Billion Btu
EYICP,Ethylene from refineries consumed by the industrial sector,Thousand barrels
IYTCP,Isobutylene from refineries total consumption,Thousand barrels
BYTCB,Butylene from refineries total consumption,Billion Btu
PYTCP,Propylene from refineries total consumption,Thousand barrels
PYICB,Propylene from refineries consumed by the industrial sector,Billion Btu
EYTCB,Ethylene from refineries total consumption,Billion Btu
EYTCP,Ethylene from refineries total consumption,Thousand barrels
BQICB,Normal butane consumed by the industrial sector,Billion Btu
IYICB,Isobutylene from refineries consumed by the industrial sector,Billion Btu
BYICB,Butylene from refineries consumed by the industrial sector,Billion Btu
IQICB,Isobutane consumed by the industrial sector,Billion Btu
EYICB,Ethylene from refineries consumed by the industrial sector,Billion Btu
EVCHN,Total charging ports for electric vehicles,Number
BTCAS,Battery storage generating units usage factor,Percent
HPCAS,Hydroelectric pumped storage generating units usage factor,Percent
EV2CN,Level 2 charging ports for electric vehicles,Number
EVDCN,DC fast charging ports for electric vehicles,Number
EV1CN,Level 1 charging ports for electric vehicles,Number
EVPPP,Electric vehicle charging locations with both public and private ports,Number
EVPVP,Electric vehicle charging locations with private ports only,Number
EVDCR,DC fast charging ports per location,Number
EVNOP,Electric vehicle charging locations with non-networked ports only,Number
EVNNP,Electric vehicle charging locations with both networked and non-networked ports,Number
EV0CN,Legacy charging ports for electric vehicles,Number
EVPUP,Electric vehicle charging locations with public ports only,Number
EV2CR,Level 2 charging ports per location,Number
EVNTP,Electric vehicle charging locations with networked ports only,Number
PHVHN,Plug-in hybrid electric vehicle (PHEV) light-duty stocks,Thousands of registered vehicles
LDVHN,Total (all fuels) vehicle light-duty stocks,Thousands of registered vehicles
ELVHS,Electric vehicle (EV) share of total light-duty vehicles,Percent
BTVHN,Battery electric vehicle (BEV) light-duty stocks,Thousands of registered vehicles
ELVHN,Total electric vehicle (EV) light-duty stocks,Thousands of registered vehicles
PHVHP,Electricity consumed for plug-in hybrid electric vehicle (PHEV) use,Million kilowatthours
BTVHP,Electricity consumed for battery electric vehicle (BEV) use,Million kilowatthours
ESVHP,Electricity consumed for electric vehicle (EV) use,Million kilowatthours
